year,state,city,code,name,measurement
2013,Texas,Denton,45201,Benzene,1.415593
2013,Texas,El Paso,43803,Chloroform,0.0132325
2013,Texas,El Paso,45201,Benzene,1.565206
2013,Texas,El Paso,88103,Arsenic PM2.5 LC,0.000496
2013,Texas,El Paso,88128,Lead PM2.5 LC,0.001584
2013,Texas,Fort Worth,43803,Chloroform,0.013448
2013,Texas,Fort Worth,45201,Benzene,1.119753
2013,Texas,Galena Park,43803,Chloroform,0.033542
2013,Texas,Galena Park,45201,Benzene,5.89125
2013,Texas,Galveston,43803,Chloroform,0.012083
2013,Texas,Galveston,45201,Benzene,1.0125
2013,Texas,Grapevine,43803,Chloroform,0.01661
2013,Texas,Grapevine,45201,Benzene,1.013898
2013,Texas,Greenville,43803,Chloroform,0.011552
2013,Texas,Greenville,45201,Benzene,0.957931
2013,Texas,Houston,43803,Chloroform,0.053952
2013,Texas,Houston,45201,Benzene,2.83237966666667
2013,Texas,Kaufman,43803,Chloroform,0.011667
2013,Texas,Kaufman,45201,Benzene,1.31
2013,Texas,La Porte,43803,Chloroform,0.069667
2013,Texas,La Porte,45201,Benzene,4.715
2013,Texas,Laredo,43803,Chloroform,0.007778
2013,Texas,Laredo,45201,Benzene,3.665556
2013,Texas,Midlothian,43803,Chloroform,0.013621
2013,Texas,Midlothian,45201,Benzene,0.844138
2013,Texas,Midlothian,88103,Arsenic PM2.5 LC,6.9e-05
2013,Texas,Midlothian,88128,Lead PM2.5 LC,0.002224
2013,Texas,Mission,43803,Chloroform,0.013519
2013,Texas,Mission,45201,Benzene,1.303333
2013,Texas,Nederland,45201,Benzene,1.431902
2013,Texas,Odessa,45201,Benzene,1.947722
2013,Texas,Pasadena,43803,Chloroform,0.029167
2013,Texas,Pasadena,45201,Benzene,4.49
2013,Texas,Port Arthur,43803,Chloroform,0.0222955
2013,Texas,Port Arthur,45201,Benzene,2.69307925
2013,Texas,Port Neches,43803,Chloroform,0.027541
2013,Texas,Port Neches,45201,Benzene,1.539344
2013,Texas,San Antonio,43803,Chloroform,0.013273
2013,Texas,San Antonio,45201,Benzene,1.330909
2013,Texas,Socorro,43803,Chloroform,0.004655
2013,Texas,Socorro,45201,Benzene,1.595172
2013,Texas,Texas City,43803,Chloroform,0.020556
2013,Texas,Texas City,45201,Benzene,2.081111
2014,Texas,Austin,43803,Chloroform,0.020303
2014,Texas,Austin,45201,Benzene,1.412727
2014,Texas,Baytown,43803,Chloroform,0.027879
2014,Texas,Baytown,45201,Benzene,2.167273
2014,Texas,Beaumont,43803,Chloroform,0.0235165
2014,Texas,Beaumont,45201,Benzene,1.61604433333333
2014,Texas,Brownsville,43803,Chloroform,0.013333
2014,Texas,Brownsville,45201,Benzene,1.114545
2014,Texas,Channelview,43803,Chloroform,0.033824
2014,Texas,Channelview,45201,Benzene,4.5331215
2014,Texas,Clute (corporate name for Clute City),43803,Chloroform,0.025143
2014,Texas,Clute (corporate name for Clute City),45201,Benzene,1.076571
2014,Texas,Corpus Christi,43803,Chloroform,0.013154
2014,Texas,Corpus Christi,45201,Benzene,2.5764765
2014,Texas,Corpus Christi,88103,Arsenic PM2.5 LC,0
2014,Texas,Corpus Christi,88128,Lead PM2.5 LC,0.001952
2014,Texas,Dallas,43803,Chloroform,0.016364
2014,Texas,Dallas,45201,Benzene,1.0581365
2014,Texas,Dallas,88103,Arsenic PM2.5 LC,0.0002075
2014,Texas,Dallas,88128,Lead PM2.5 LC,0.001381
2014,Texas,Deer Park,43803,Chloroform,0.0240305
2014,Texas,Deer Park,45201,Benzene,1.71916033333333
2014,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.000616
2014,Texas,Deer Park,88128,Lead PM2.5 LC,0.00051
2014,Texas,Denton,43803,Chloroform,0.011429
2014,Texas,Denton,45201,Benzene,1.803429
2014,Texas,El Paso,43803,Chloroform,0.014242
2014,Texas,El Paso,45201,Benzene,1.720118
2014,Texas,El Paso,88103,Arsenic PM2.5 LC,0.000427
2014,Texas,El Paso,88128,Lead PM2.5 LC,0.001267
2014,Texas,Fort Worth,43803,Chloroform,0.013235
2014,Texas,Fort Worth,45201,Benzene,1.0564405
2014,Texas,Galena Park,43803,Chloroform,0.055385
2014,Texas,Galena Park,45201,Benzene,8.395385
2014,Texas,Grapevine,43803,Chloroform,0.016571
2014,Texas,Grapevine,45201,Benzene,0.965143
2014,Texas,Greenville,43803,Chloroform,0.016286
2014,Texas,Greenville,45201,Benzene,1.203429
2014,Texas,Houston,43803,Chloroform,0.0353116666666667
2014,Texas,Houston,45201,Benzene,1.99916416666667
2014,Texas,La Porte,43803,Chloroform,0.088857
2014,Texas,La Porte,45201,Benzene,4.241143
2014,Texas,Laredo,43803,Chloroform,0.012188
2014,Texas,Laredo,45201,Benzene,3.294375
2014,Texas,Midlothian,43803,Chloroform,0.013529
2014,Texas,Midlothian,45201,Benzene,0.875294
2014,Texas,Midlothian,88103,Arsenic PM2.5 LC,0
2014,Texas,Midlothian,88128,Lead PM2.5 LC,0.003045
2014,Texas,Mission,43803,Chloroform,0.013824
2014,Texas,Mission,45201,Benzene,1.154118
2014,Texas,Nederland,45201,Benzene,1.165295
2014,Texas,Odessa,45201,Benzene,1.597225
2014,Texas,Pasadena,43803,Chloroform,0.026333
2014,Texas,Pasadena,45201,Benzene,2.74
2014,Texas,Port Arthur,43803,Chloroform,0.02298775
2014,Texas,Port Arthur,45201,Benzene,1.87876275
2014,Texas,Port Neches,43803,Chloroform,0.034857
2014,Texas,Port Neches,45201,Benzene,1.308
2014,Texas,San Antonio,43803,Chloroform,0.014857
2014,Texas,San Antonio,45201,Benzene,1.450286
2014,Texas,Socorro,43803,Chloroform,0.006857
2014,Texas,Socorro,45201,Benzene,1.714286
2014,Texas,Texas City,43803,Chloroform,0.027353
2014,Texas,Texas City,45201,Benzene,2.144118
